l2_id,l2_category,l2_category_description,,,
1,Pre onboarding / Offer Related,"Queries at this stage involve seeking information about the types of business loans Paytm offers, including interest rates, loan amounts, tenure options, and any promotional deals available to new applicants.",,,
2,Pre onboarding / Loan Application Status,"Inquires about the progress and current status of their loan applications, including any pending actions or documentation required to move forward with the onboarding process.",,,
3,Post onboarding / EDI Related,"After receiving a loan, merchants may have questions about their Equal Daily Installment (EDI) terms, including payment schedules, calculation of installment amounts, or adjustments to their EDI setup",,,
4,Post onboarding / Loan account status,"Merchants who have received a loan may inquire about the details of their loan account, such as the remaining balance, next due date, or transaction history",,,
5,Post onboarding / Self pay related,"These queries pertain to how merchants can make loan repayments on their own, including the mechanisms for self-service payments, such as online transfers or using Paytm's platform",,,
6,Post onboarding / Documents,"Merchants may request or have questions about loan-related documents, including loan agreements, repayment schedules, or any official paperwork associated with their loan.",,,
7,Post onboarding / NOC / Loan Closure / CIBIL,"Merchants seek information about obtaining a No Objection Certificate (NOC), procedures for loan closure, and the effects of loan repayment or closure on their credit score, as reported to CIBIL.",,,
8,Pre onboarding / Loan Cancellation Request,"Before completing the onboarding process, applicants may inquire about the procedure for canceling their loan application and any implications of cancellation.",,,
9,Post onboarding / Loan Cancellation Request,"After onboarding, merchants might wish to understand the process and consequences of canceling or settling their loan account before the end of its term.",,,
10,Pre onboarding / FSE complaint,These queries involve raising issues related to the Field Sales Executives (FSE) involved in the loan application process before the merchant is onboarded.,,,
11,Post onboarding / Collection team complaint,"After onboarding, merchants may have complaints about the loan collection process or conduct of the collection team, seeking resolutions for their grievances.",,,
12,Fraud Related,"Queries in this category relate to reporting suspected fraud, seeking assistance on fraud prevention, and understanding the resolution process for fraud-related concerns regarding their business loan.",,,
13,Prohibited issues,"Merchants inquire about actions or practices that are not permitted in relation to Paytm's business loans, looking for clarification on prohibited activities and their repercussions.",,,
14,Amex Card,Queries regarding enabling or issues with processing American Express cards on Paytm EDC devices.,,,
15,App POS,Inquiries about using the EDC device in conjunction with the Paytm POS app for transactions.,,,
16,Cash at POS,Questions about the capability to dispense cash to customers at the POS using the EDC device.,,,
17,CC Enable/Disable,Requests to enable or disable the processing of credit cards on the EDC device.,,,
18,DC Enable/Disable,Requests to enable or disable the processing of debit cards on the EDC device.,,,
19,Device Upgrade,Queries related to upgrading the current EDC device to a newer model or version.,,,
20,EDC as IOT,Questions about using the EDC device as an Internet of Things (IOT) device for smart connectivity.,,,
21,EMI Enable/Disable,Requests to enable or disable EMI options on the EDC device for customer transactions.,,,
22,International Card Related,Queries regarding issues or support for processing international cards on the EDC device.,,,
23,Link Based Payment Related,Inquiries about processing payments through links generated by the EDC device.,,,
24,Payment Gateway Request,Requests for integrating or troubleshooting issues with the payment gateway on the EDC device.,,,
25,Postpaid Enable/Disable,Requests to enable or disable the processing of postpaid service payments on the EDC device.,,,
26,UPI Enable/Disable,Requests to enable or disable the processing of UPI (Unified Payments Interface) transactions.,,,
27,Wallet Enable/Disable,Requests to enable or disable the processing of Paytm wallet transactions on the EDC device.,,,
28,Better deal from competitor,Merchant wants to deactivate EDC due to better pricing or service offers from another provider.,,,
29,Business closed,"Merchant's business has ceased operations, necessitating deactivation of the EDC device.",,,
30,Device not working,"The EDC device is malfunctioning, leading the merchant to request deactivation.",,,
31,Existing Issue-Network Issue,Merchant experiences persistent network issues with the EDC device and wants to deactivate it.,,,
32,Existing Service Issue-Device not working,Ongoing service issues with the device not functioning properly lead to deactivation request.,,,
33,Existing Service Issue-Loan,"Merchant has service issues related to a loan associated with the EDC device, prompting deactivation.",,,
34,Existing Service Issue-Payout,Issues with payout services on the EDC device cause the merchant to seek deactivation.,,,
35,Existing Service Issue-Profile,Problems with the merchant's profile or account settings on the EDC device lead to a deactivation request.,,,
36,Feature not available,Merchant needs a feature that is not provided by the current EDC device and decides to deactivate.,,,
37,High MDR charges,Merchant finds the Merchant Discount Rate (MDR) charges too high and opts for deactivation.,,,
38,High rental charges,"The rental charges for the EDC device are considered too expensive by the merchant, leading to deactivation.",,,
39,Low footfall,"Merchant experiences low customer turnout, resulting in underuse of the EDC device, and requests deactivation.",,,
40,Wrong Committment,Merchant received incorrect or misleading information regarding the EDC service and requests deactivation.,,,
41,Need to deactivate the device,Merchant needs assistance in deactivating a lost EDC device to prevent unauthorized use.,,,
42,New Device Required,Merchant requires a new EDC device to replace the one that has been lost.,,,
43,Activation Related_SB,Merchant is experiencing rapid battery depletion with their EDC device and needs a resolution.,,,
